timestamp,mean,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9
2024-05-01,46710.901660262236,-410.77284038200304,785.7595774019994,1658.6699452967737,45880.787301074975,46710.901660262236,47578.49943472428,48408.33588566681,55214.70774669198,56725.60034766563
2024-06-01,53023.01904725035,7140.780581479655,8733.232143144089,9901.31674772624,10948.827885396371,53023.01904725035,53902.61379881339,55030.878783803026,61767.408380976776,63581.41200352482
2024-07-01,4522969.65764264,2752230.2012044396,3026047.3040944953,3802933.2897886327,4258693.497680368,4522969.65764264,5114297.572722824,5802568.454102129,6247707.409813923,6554057.104275758
2024-08-01,4828214.702265943,3237727.9258102374,3504734.427455624,4056245.294430559,4523520.270196806,4828214.702265943,5312355.231915224,6199598.976853676,6930628.234195353,7165527.372629842
2024-09-01,5020803.193271946,2375441.3916452145,2723280.7252089796,4166467.372432398,4627934.9359710775,5020803.193271946,5612255.188528728,6515637.0618536165,7205733.493675089,7417867.949127403
2024-10-01,4091764.158546275,2551260.2242848612,2771244.203065456,3464855.813873668,3835259.222985374,4091764.158546275,4777038.092046424,5619971.989134308,6982560.344380899,7313718.635097271
2024-11-01,4063575.038789723,2447267.2570708524,2718808.551130031,3335663.7896962278,3756113.0145495003,4063575.038789723,4526973.516207878,5392342.93010861,6270127.002800028,6544526.48514609
2024-12-01,3411219.7435239768,1235705.3668080384,1859253.7711130579,2596278.43554221,3040474.9882311327,3411219.7435239768,3747576.2417182745,4280385.760481828,4762157.697587637,5129283.668532825
2025-01-01,2252934.391221098,772319.3675717983,1151696.343190787,1617148.4064212309,2040111.663305692,2252934.391221098,2705977.8335333704,3030627.676753408,3730786.4879017477,4133417.793928143
2025-02-01,3347033.2554004067,1126629.7801000923,1711745.9203225793,2647913.8420051727,3096419.172328094,3347033.2554004067,3975379.2763520065,4737048.1369950855,5181546.070467387,5536226.87317232
2025-03-01,3756880.8268717867,542231.0792871302,1671158.7570479119,2290503.947446642,3162454.626180604,3756880.8268717867,4024771.517643347,4893559.254828338,5891096.600216409,6273788.622739101
2025-04-01,3876554.25463968,549742.1784228696,2226293.2208562656,2772795.1000782717,3523372.1832509227,3876554.25463968,4234975.405716467,5122720.105923095,5749859.278239021,6086613.974410462
2025-05-01,4878833.813947005,1218940.474561267,3044063.6070488356,3635242.7626461103,4284739.8980639,4878833.813947005,5266929.396157164,5902731.227080743,6717724.878314757,7081940.006443777
2025-06-01,5547857.214636249,1719173.2943922428,3497579.6161899944,4146489.442108486,4938603.874846529,5547857.214636249,5897184.989348922,6618678.522106436,7599152.772501205,8031222.86356244
