,sku,year,month,quarter,region,group,category,quantity,actual_revenue,price,lost_quantity,lost_revenue,potential_revenue,loss_ratio
484950,18487,2021,10,4,0,Пены KUDO,Пены KUDO,268544,93807081.12384,349.31736000000006,268496.0,93790313.89056002,187597395.0144,0.4999553105913899
478951,18390,2021,10,4,0,Пены KUDO,Пены KUDO,203369,60533254.666080005,297.65232000000003,203362.0,60531171.09984001,121064425.76592001,0.4999913948039368
458138,18161,2021,6,2,0,Пены KUDO,Пены KUDO,183733,57430104.2531,312.269632,183733.0,57374236.296256,114804340.549356,0.49975668186160616
470111,18288,2022,9,3,0,Пены KUDO,Пены KUDO,162989,57358489.08048,351.91632000000004,162389.0,57147339.288480006,114505828.36896001,0.49907799543915077
485004,18487,2021,11,4,0,Пены KUDO,Пены KUDO,142827,49344583.238460004,345.48498000000006,142827.0,49344583.23846001,98689166.47692001,0.5000000000000001
