timestamp,mean,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9
2024-05-01,7335474.9866925925,-6371590.752920448,-3909962.458916098,-2125523.341396673,-383624.07866664167,7335474.9866925925,8919377.000751827,13644356.94905019,15493688.733236285,18248127.027240634
2024-06-01,11529141.526666667,-5597905.230619665,-2718872.6644627806,-624431.3863130362,9829192.108327195,11529141.526666667,13152220.778339474,15699429.851276925,17936315.573871113,21021712.140028
2024-07-01,1025432773.7599429,490797942.8656485,615409192.160675,805300044.0468935,939405301.2135451,1025432773.7599429,1152916388.6894448,1307249914.757682,1438147933.2500658,1575101897.0316565
2024-08-01,1034362757.6516571,447472341.2180146,594392760.5356879,790738996.8310778,920432784.1018722,1034362757.6516571,1156251407.6484935,1310371179.5169249,1453894727.860259,1612546755.694393
2024-09-01,1141608249.340106,444309592.01732546,619796504.5524044,842321820.0770814,1008372170.6586356,1141608249.340106,1259960722.8371918,1464019125.847071,1623183589.7388551,1793648541.5264542
2024-10-01,939785075.8908303,360491690.20720077,518562765.64826554,694995274.2678381,833499352.650042,939785075.8908303,1092810238.1110637,1282109421.663687,1589165031.9319594,1747777962.1428385
2024-11-01,893824006.6301613,293108148.1520486,454703690.68428504,642766989.5368526,786455476.7628217,893824006.6301613,1028079734.4540199,1216774938.9335136,1409966745.0006137,1608712251.407937
2024-12-01,782980711.356986,52920792.55347574,268653325.0334703,494383610.95698065,639972690.662839,782980711.356986,895957683.8221507,1049488494.8061426,1209263369.8853266,1421960040.4081564
2025-01-01,551675945.4495273,-96124065.95124465,108710618.74089712,264277113.90391004,422625262.02721494,551675945.4495273,692673830.0704792,825641967.7826989,1022924462.7402576,1234766639.7657833
2025-02-01,719554737.2925822,-34677474.52851157,212180115.37879664,430048230.5113548,605403236.6272339,719554737.2925822,850969006.2694931,1009312914.2660601,1192799072.7549715,1447614943.348913
2025-03-01,824637208.8899117,-82645946.72234675,245370334.18625763,458846518.45564896,642099568.1001145,824637208.8899117,969197909.0910165,1152012248.4425273,1351836109.9530985,1617289368.4269378
2025-04-01,853892018.4094478,-90267942.5533641,291696330.9353512,482773337.96084297,694878584.2229167,853892018.4094478,988372932.3024235,1162510143.817825,1356589545.7548056,1589125227.669018
2025-05-01,981591026.0724325,-2160125.5790778813,400535415.05358034,604707727.2826253,793266331.8948193,981591026.0724325,1133889457.4966402,1290727363.652543,1484518432.1445696,1712438085.7719624
2025-06-01,1060537218.5953292,10449683.508400278,428953745.813053,680238242.6099179,888561654.6675857,1060537218.5953292,1224784715.8448906,1440236444.0116856,1684818248.6245553,1924820214.3273864
