item_id,timestamp,mean,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9
1392,2024-07-01,2765468.086065778,1326043.1592701154,1561064.703746906,2446180.8659846606,2615703.488420002,2765468.086065778,2919064.628155999,3216914.4058974506,3394539.0054644644,3661698.1054968103
1392,2024-08-01,2806919.4969777777,1692264.7391081697,1965558.128770921,2478585.723517005,2645120.77535759,2806919.4969777777,2963019.4408201883,3393831.5169463283,3603121.649609079,3894098.6781607196
1392,2024-09-01,3215009.373631111,1036297.1049302362,1364812.9069713356,1555441.3059794125,3022101.5784260486,3215009.373631111,3707380.54038284,3887328.994616884,4105961.393624961,4390849.056777172
1392,2024-10-01,2081147.2260255557,959331.6066046904,1262168.8994919634,1737191.2489512577,1907379.209144819,2081147.2260255557,2271135.631795181,2841875.3028609646,3045320.4983674814,3331257.430143643
1392,2024-11-01,2285246.237785778,956714.8273604149,1250198.2808324972,1472185.9585470045,2096440.343166192,2285246.237785778,2467848.354627586,2835028.5194306616,3059040.1693673916,3393544.4283950296
1392,2024-12-01,2252832.563277333,343347.2779713116,776695.246488574,1020305.6511169944,2060904.2183465818,2252832.563277333,2455650.6859858623,2641812.6092921165,3260144.7838416486,3614370.0668033557
1392,2025-01-01,1607217.318728,241653.40630261102,598548.8135025653,1178985.0917948624,1382343.3334875386,1607217.318728,1820716.6373017945,2240711.3221233594,2470026.808120101,2852597.1319867224
1392,2025-02-01,2394368.671305889,1221564.2002145394,1604830.7945848447,1866223.5840606138,2207405.3509207726,2394368.671305889,2653183.9656452644,2860658.3957604235,3142829.5463473033,3605793.946273164
1392,2025-03-01,2480257.0881093335,512847.40977141354,896961.4649580576,1699650.708475744,1938208.839760859,2480257.0881093335,2710286.5797805856,2968393.5999545893,3382028.7458206094,3751700.4537850306
1392,2025-04-01,2927522.502371,1698175.4377102002,2079209.0388363083,2382842.717850954,2712774.3654095326,2927522.502371,3136683.1948880227,3352063.4841049346,3968771.783922358,4331617.954492911
1392,2025-05-01,2923256.1253324444,641975.417548078,2042888.715755493,2339307.375119989,2592781.2939037704,2923256.1253324444,3146669.4910227857,3364833.132028789,4240877.117962174,4640580.047413107
1392,2025-06-01,3213548.3997457777,810127.0696207897,1299852.6404127078,2278923.9370697914,2578901.050352008,3213548.3997457777,3498520.378037326,3788673.352430653,4267876.2532307,4716761.54624484
14027,2024-07-01,3986370.9840871114,2392327.8105272683,2705373.2189444057,3558191.7271200456,3785820.833845417,3986370.9840871114,4192308.689884361,4398496.796609732,4852211.811436575,5210439.664298157
14027,2024-08-01,3523463.0698133335,2361068.1091963863,2718011.95856857,2991001.0946554914,3315809.914045592,3523463.0698133335,3732687.670025519,4193773.8613183973,4471738.8862942085,4870345.957888613
14027,2024-09-01,4133163.389237037,1748686.7547292635,2194988.0033176816,3583742.3286177814,3858085.446913506,4133163.389237037,4931860.508622791,5184033.071362959,5496529.4355012085,5902217.795200736
